歌曲編號,歌曲名稱,歌星 A,歌星 B,路徑 1,路徑 2,歌曲檔名,新增日期,分類,歌曲注音,歌曲拼音,語別,點播次數,版權01,版權02,版權03,版權04,版權05,版權06,狀態,歌名字數,人聲,狀態2,情境,歌星A注音,歌星B注音,歌星A分類,歌星B分類,歌星A簡體,歌星B簡體,歌名簡體
401455,消愁,毛不易,,\\SVR01\DISK05\,\\SVR02\DISK05\,401455.mpg,2018/04/09,,F1,,ㄒㄔ,XC,國語,65,其他,明日之子,原影,有人聲,,,1,2,1,0,柔和,ㄇㄅㄧ,,男,,毛不易,,消愁
401454,再也沒有,耿斯漢,,\\SVR01\DISK05\,\\SVR02\DISK05\,401454.mpg,2018/04/09,,F1,,ㄗㄧㄇㄧ ㄊㄌㄓㄓ,ZYMYTLZZ,國語,0,其他,天籟之戰,原影,有人聲,,,0,10,1,0,柔和,ㄍㄙㄏ,,男,,耿斯汉,,再也没有
401453,陪著你走,王浩信,譚嘉儀,\\SVR01\DISK05\,\\SVR02\DISK05\,401453.mpg,2018/04/09,,F1,,ㄆㄓㄋㄗ,PZNZ,國語,0,其他,KTV,原影,有人聲,,,1,4,1,1,柔和,ㄨㄏㄒ,ㄊㄐㄧ,男,女,王浩信,谭嘉仪,陪著你走
401452,愛河,神馬樂團,,\\SVR01\DISK05\,\\SVR02\DISK05\,401452.mpg,2018/04/09,,F1,,ㄞㄏ,AH,國語,0,其他,KTV,原影,有人聲,,,1,2,1,1,柔和,ㄕㄇㄌㄊ,,女,,神马乐团,,爱河
401451,空空如也,胡六六,,\\SVR01\DISK05\,\\SVR02\DISK05\,401451.mpg,2018/04/09,,F1,,ㄎㄎㄖㄧ,KKRY,國語,1,其他,KTV,原影,有人聲,,,1,4,1,1,柔和,ㄏㄌㄌ,,女,,胡六六,,空空如也
401450,別丟下我不管,風小箏,,\\SVR01\DISK05\,\\SVR02\DISK05\,401450.mpg,2018/03/29,,F1,,ㄅㄉㄒㄨㄅㄍ,BDXWBG,國語,5,其他,KTV,原影,有人聲,,,1,6,1,1,浪漫,ㄈㄒㄓ,,女,,风小筝,,别丢下我不管
401449,FENDIMAN,王嘉爾,,\\SVR01\DISK05\,\\SVR02\DISK05\,401449.mpg,2019/03/05,,F1,,,,國語,0,其他,夢想的聲音,原影,有人聲,,,0,8,1,0,動感,ㄨㄐㄦ,,男,,王嘉尔,,FENDIMAN
401448,社會搖,蕭全,,\\SVR01\DISK05\,\\SVR02\DISK05\,401448.mpg,2018/03/29,,F1,,ㄕㄏㄧ,SHY,國語,14,其他,KTV,原影,有人聲,,,1,3,1,1,動感,ㄒㄑ,,男,,萧全,,社会摇
401447,如果愛下去,張靚穎,,\\SVR01\DISK05\,\\SVR02\DISK05\,401447.mpg,2018/03/29,,F1,,ㄖㄍㄞㄒㄑ,RGAXQ,國語,0,其他,KTV,原影,有人聲,,,1,5,1,1,浪漫,ㄓㄐㄧ,,女,,张靓颖,,如果爱下去
401446,孩子,華晨宇,,\\SVR01\DISK05\,\\SVR02\DISK05\,401446.mpg,2018/04/26,,F1,,ㄏㄗ ㄍㄕ,HZGS,國語,0,其他,歌手,原影,有人聲,,,0,6,1,0,柔和,ㄏㄔㄩ,,男,,华晨宇,,孩子
401444,你說你愛我,蔡佩軒,,\\SVR01\DISK05\,\\SVR02\DISK05\,401444.mpg,2018/03/14,,F1,,ㄋㄕㄋㄞㄨ,NSNAW,國語,2,其他,KTV,原影,有人聲,,,1,5,1,1,浪漫,ㄘㄆㄒ,,女,,蔡佩轩,,你说你爱我
401442,夢裡花,張韶涵,,\\SVR01\DISK05\,\\SVR02\DISK05\,401442.mpg,2018/03/14,,F1,,ㄇㄌㄏ ㄍㄕ,MLHGS,國語,0,其他,歌手,原影,有人聲,,,0,7,1,0,柔和,ㄓㄕㄏ,,女,,张韶涵,,梦里花
401441,后來,李曉東,,\\SVR01\DISK05\,\\SVR02\DISK05\,401441.mpg,2018/03/14,,F1,,ㄏㄌ ㄍㄕ,HLGS,國語,0,其他,歌手,原影,有人聲,,,0,6,1,0,柔和,ㄌㄒㄉ,,男,,李晓东,,后来
401440,病變,鞠文嫻,,\\SVR01\DISK05\,\\SVR02\DISK05\,401440.mpg,2018/03/14,,F1,,ㄅㄅ,BB,國語,12,其他,KTV,原影,有人聲,,,1,2,1,1,柔和,ㄐㄨㄒ,,女,,鞠文娴,,病变
401439,涼涼(三生三世主題曲),楊宗緯,張碧晨,\\SVR01\DISK05\,\\SVR02\DISK05\,401439.mpg,2018/03/05,,F1,,ㄌㄌ ㄙㄕㄙㄕㄓㄊㄑ,LLSSSSZTQ,國語,9,其他,KTV,原影,有人聲,,,1,11,1,1,柔和,ㄧㄗㄨ,ㄓㄅㄔ,男,女,杨宗纬,张碧晨,凉凉(三生三世主题曲)
401438,我還想她,烏拉多恩,,\\SVR01\DISK05\,\\SVR02\DISK05\,401438.mpg,2018/03/05,,F1,,ㄨㄏㄒㄊ ㄇㄒㄉㄕㄧ,WHXTMXDSY,國語,0,其他,夢想的聲音,原影,有人聲,,,0,11,1,0,柔和,ㄨㄌㄉㄣ,,女,,乌拉多恩,,我还想她
401437,我要的幸福,張靚穎,,\\SVR01\DISK05\,\\SVR02\DISK05\,401437.mpg,2018/03/05,,F1,,ㄨㄧㄉㄒㄈ ㄇㄒㄉㄕㄧ,WYDXFMXDSY,國語,0,其他,夢想的聲音,原影,有人聲,,,0,12,1,0,柔和,ㄓㄐㄧ,,女,,张靓颖,,我要的幸福
401436,滄海一聲笑,GAI,,\\SVR01\DISK05\,\\SVR02\DISK05\,401436.mpg,2018/03/05,,F1,,ㄘㄏㄧㄕㄒ ㄍㄕ,CHYSXGS,國語,0,其他,歌手,原影,有人聲,,,0,9,1,0,柔和,,,男,,GAI,,沧海一声笑
401435,阿刁,張韶涵,,\\SVR01\DISK05\,\\SVR02\DISK05\,401435.mpg,2018/03/05,,F1,,ㄚㄉ ㄍㄕ,ADGS,國語,0,其他,歌手,原影,有人聲,,,0,6,1,0,柔和,ㄓㄕㄏ,,女,,张韶涵,,阿刁
401434,QUEEN BEE,張天,,\\SVR01\DISK05\,\\SVR02\DISK05\,401434.mpg,2018/03/05,,F1,,ㄍㄕ,GS,國語,0,其他,歌手,原影,有人聲,,,0,13,1,0,柔和,ㄓㄊ,,女,,张天,,QUEEN BEE
401433,千千闕歌,陳樂基,,\\SVR01\DISK05\,\\SVR02\DISK05\,401433.mpg,2018/03/05,,F1,,ㄑㄑㄑㄍ ㄔㄐㄍㄉ,QQQGCJGD,國語,0,其他,超級歌單,原影,有人聲,,,0,10,1,0,柔和,ㄔㄌㄐ,,男,,陈乐基,,千千阙歌
401432,信仰,黃齡,,\\SVR01\DISK05\,\\SVR02\DISK05\,401432.mpg,2018/03/05,,F1,,ㄒㄧ ㄔㄐㄍㄉ,XYCJGD,國語,0,其他,超級歌單,原影,有人聲,,,0,8,1,0,柔和,ㄏㄌ,,女,,黄龄,,信仰
401431,我等到花兒也謝了,李佳薇,,\\SVR01\DISK05\,\\SVR02\DISK05\,401431.mpg,2018/03/05,,F1,,ㄨㄉㄉㄏㄦㄧㄒㄌ ㄔㄐㄍㄉ,WDDHEYXLCJGD,國語,0,其他,超級歌單,原影,有人聲,,,0,14,1,0,柔和,ㄌㄐㄨ,,女,,李佳薇,,我等到花儿也谢了
401430,回家,許芝娜,,\\SVR01\DISK05\,\\SVR02\DISK05\,401430.mpg,2018/03/05,,F1,,ㄏㄐ ㄔㄐㄍㄉ,HJCJGD,國語,0,其他,超級歌單,原影,有人聲,,,0,8,1,0,柔和,ㄒㄓㄋ,,女,,许芝娜,,回家
401429,一人飲酒醉,華晨宇,,\\SVR01\DISK05\,\\SVR02\DISK05\,401429.mpg,2018/03/05,,F1,,ㄧㄖㄧㄐㄗ ㄊㄌㄓㄓ,YRYJZTLZZ,國語,0,其他,天籟之戰,原影,有人聲,,,0,11,1,0,柔和,ㄏㄔㄩ,,男,,华晨宇,,一人饮酒醉
401428,因為愛情,莫文蔚,,\\SVR01\DISK05\,\\SVR02\DISK05\,401428.mpg,2018/03/05,,F1,,ㄧㄨㄞㄑ ㄊㄌㄓㄓ,YWAQTLZZ,國語,0,其他,天籟之戰,原影,有人聲,,,0,10,1,0,柔和,ㄇㄨㄨ,,女,,莫文蔚,,因为爱情
401427,遠方,王超,,\\SVR01\DISK05\,\\SVR02\DISK05\,401427.mpg,2018/01/11,,F1,,ㄩㄈ,YF,國語,0,其他,KTV,原影,有人聲,,,1,2,1,1,柔和,ㄨㄔ,,男,,王超,,远方
401426,男人好累,趙鑫,,\\SVR01\DISK05\,\\SVR02\DISK05\,401426.mpg,2018/01/11,,F1,,ㄋㄖㄏㄌ,NRHL,國語,0,其他,KTV,原影,有人聲,,,1,4,1,1,柔和,ㄓㄒ,,男,,赵鑫,,男人好累
401425,不為誰而作的歌,球鞋俠,,\\SVR01\DISK05\,\\SVR02\DISK05\,401425.mpg,2018/01/11,,B1,,ㄅㄨㄕㄦㄗㄉㄍ ㄇㄇㄍㄨ,BWSEZDGMMGW,國語,0,其他,蒙面歌王,原影,有人聲,,,0,13,1,0,柔和,ㄑㄒㄒ,,男,,球鞋侠,,不为谁而作的歌
401424,小幸運,球鞋俠,,\\SVR01\DISK05\,\\SVR02\DISK05\,401424.mpg,2018/01/11,,B1,,ㄒㄒㄩ ㄇㄇㄍㄨ,XXYMMGW,國語,0,其他,蒙面歌王,原影,有人聲,,,0,9,1,0,柔和,ㄑㄒㄒ,,男,,球鞋侠,,小幸运
401423,讓我留在你身邊,陳奕迅,,\\SVR01\DISK05\,\\SVR02\DISK05\,401423.mpg,2018/01/08,,F1,,ㄖㄨㄌㄗㄋㄕㄅ,RWLZNSB,國語,216,其他,KTV,原影,有人聲,,,1,7,1,1,柔和,ㄔㄧㄒ,,男,,陈奕迅,,让我留在你身边
401422,記得,曹楊,陳穎恩,\\SVR01\DISK05\,\\SVR02\DISK05\,401422.mpg,2018/01/08,,B1,,ㄐㄉ,JD,國語,0,其他,中國新聲音,原影,有人聲,,,0,2,1,0,柔和,ㄘㄧ,ㄔㄧㄣ,男,女,曹杨,陈颖恩,记得
401421,無與倫比的美麗,希林娜依,,\\SVR01\DISK05\,\\SVR02\DISK05\,401421.mpg,2018/01/08,,B1,,ㄨㄩㄌㄅㄉㄇㄌ,WYLBDML,國語,2,其他,KTV,原影,有人聲,,,1,7,1,1,柔和,ㄒㄌㄋㄧ,,女,,希林娜依,,无与伦比的美丽
401420,十二月的奇蹟,EXO,,\\SVR01\DISK05\,\\SVR02\DISK05\,401420.mpg,2018/01/08,,F1,,ㄕㄦㄩㄉㄑㄐ,SEYDQJ,國語,4,其他,KTV,原影,有人聲,,,1,6,1,1,柔和,,,團,,EXO,,十二月的奇迹
401419,HISTORY,EXO,,\\SVR01\DISK05\,\\SVR02\DISK05\,401419.mpg,2018/01/08,,F1,,,,國語,0,其他,KTV,原影,有人聲,,,1,7,1,1,動感,,,團,,EXO,,HISTORY
401418,CALL ME BABY,EXO,,\\SVR01\DISK05\,\\SVR02\DISK05\,401418.mpg,2018/01/08,,F1,,,,國語,2,其他,KTV,原影,有人聲,,,1,12,1,1,動感,,,團,,EXO,,CALL ME BABY
401417,過期愛情,雨宗林,,\\SVR01\DISK05\,\\SVR02\DISK05\,401417.mpg,2018/01/08,,F1,,ㄍㄑㄞㄑ,GQAQ,國語,9,其他,KTV,原影,有人聲,,,1,4,1,1,柔和,ㄩㄗㄌ,,男,,雨宗林,,过期爱情
401416,達爾文,達布希勒圖,,\\SVR01\DISK05\,\\SVR02\DISK05\,401416.mpg,2018/01/04,,B1,,ㄉㄦㄨ ㄓㄍㄒㄍㄕ,DEWZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,10,1,0,柔和,ㄉㄅㄒㄌㄊ,,男,,达布希勒图,,达尔文
401415,煙火裡的塵埃,毛雨張,,\\SVR01\DISK05\,\\SVR02\DISK05\,401415.mpg,2018/01/04,,B1,,ㄧㄏㄌㄉㄔㄞ ㄓㄍㄒㄍㄕ,YHLDCAZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,13,1,0,柔和,ㄇㄩㄓ,,女,,毛雨张,,烟火里的尘埃
401414,船歌,郭沁,,\\SVR01\DISK05\,\\SVR02\DISK05\,401414.mpg,2018/01/04,,B1,,ㄔㄍ ㄓㄍㄒㄍㄕ,CGZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,9,1,0,柔和,ㄍㄑ,,女,,郭沁,,船歌
401413,胡桃夾子,張碧晨,葉炫清,\\SVR01\DISK05\,\\SVR02\DISK05\,401413.mpg,2018/01/04,,B1,,ㄏㄊㄐㄗ ㄓㄍㄒㄍㄕ,HTJZZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,11,1,0,柔和,ㄓㄅㄔ,ㄧㄒㄑ,女,女,张碧晨,叶炫清,胡桃夹子
401412,美若黎明,郭沁,,\\SVR01\DISK05\,\\SVR02\DISK05\,401412.mpg,2018/01/04,,B1,,ㄇㄖㄌㄇ ㄓㄍㄒㄍㄕ,MRLMZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,11,1,0,柔和,ㄍㄑ,,女,,郭沁,,美若黎明
401411,紅塵客棧,趙天宇,孟子坤,\\SVR01\DISK05\,\\SVR02\DISK05\,401411.mpg,2018/01/04,,B1,,ㄏㄔㄎㄓ ㄇㄖㄓㄗ,HCKZMRZZ,國語,0,其他,明日之子,原影,有人聲,,,0,10,1,0,柔和,ㄓㄊㄩ,ㄇㄗㄎ,男,男,赵天宇,孟子坤,红尘客栈
401410,至少還有你,肖凱曄,,\\SVR01\DISK05\,\\SVR02\DISK05\,401408.mpg,2018/01/04,,B1,,ㄓㄕㄏㄧㄋ ㄓㄍㄒㄍㄕ,ZSHYNZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,12,1,0,柔和,ㄒㄎㄧ,,女,,肖凯晔,,至少还有你
401409,我是一隻魚,謝惠嫻,,\\SVR01\DISK05\,\\SVR02\DISK05\,401409.mpg,2018/01/04,,B1,,ㄨㄕㄧㄓㄩ ㄓㄍㄒㄍㄕ,WSYZYZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,12,1,0,柔和,ㄒㄏㄒ,,女,,谢惠娴,,我是一只鱼
401407,那些你很冒險的夢,陳穎恩,,\\SVR01\DISK05\,\\SVR02\DISK05\,401407.mpg,2018/01/04,,B1,,ㄋㄒㄋㄏㄇㄒㄉㄇ ㄓㄍㄒㄍㄕ,NXNHMXDMZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,15,1,0,柔和,ㄔㄧㄣ,,女,,陈颖恩,,那些你很冒险的梦
401406,男孩,梁博,希林娜依,\\SVR01\DISK05\,\\SVR02\DISK05\,401406.mpg,2018/01/04,,B1,,ㄋㄏ ㄓㄍㄒㄍㄕ,NHZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,9,1,0,柔和,ㄌㄅ,ㄒㄌㄋㄧ,男,女,梁博,希林娜依,男孩
401405,至少還有你,林俊傑,,\\SVR01\DISK05\,\\SVR02\DISK05\,401405.mpg,2018/01/04,,B1,,ㄓㄕㄏㄧㄋ ㄇㄒㄉㄕㄧ,ZSHYNMXDSY,國語,0,其他,夢想的聲音,原影,有人聲,,,0,12,1,0,柔和,ㄌㄐㄐ,,男,,林俊杰,,至少还有你
401404,我想我不會愛你,胡棟棟,,\\SVR01\DISK05\,\\SVR02\DISK05\,401404.mpg,2018/01/04,,B1,,ㄨㄒㄨㄅㄏㄞㄋ ㄓㄍㄒㄍㄕ,WXWBHANZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,14,1,0,柔和,ㄏㄉㄉ,,男,,胡栋栋,,我想我不会爱你
401403,好心分手,JC,,\\SVR01\DISK05\,\\SVR02\DISK05\,401403.mpg,2018/01/04,,B1,,ㄏㄒㄈㄕ,HXFS,國語,2,其他,KTV,原影,有人聲,,,1,4,1,1,柔和,,,女,,JC,,好心分手
401402,我,朱婷婷,,\\SVR01\DISK05\,\\SVR02\DISK05\,401402.mpg,2018/01/04,,B1,,ㄨ ㄓㄍㄒㄍㄕ,WZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,8,1,0,柔和,ㄓㄊㄊ,,女,,朱婷婷,,我
401401,你敢我就敢,毛雨張,,\\SVR01\DISK05\,\\SVR02\DISK05\,401401.mpg,2018/01/04,,B1,,ㄋㄍㄨㄐㄍ ㄓㄍㄒㄍㄕ,NGWJGZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,12,1,0,柔和,ㄇㄩㄓ,,女,,毛雨张,,你敢我就敢
401400,位置,李碩,,\\SVR01\DISK05\,\\SVR02\DISK05\,401400.mpg,2018/01/04,,B1,,ㄨㄓ ㄓㄍㄒㄍㄕ,WZZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,9,1,0,柔和,ㄌㄕ,,男,,李硕,,位置
401399,衝動,小魔頭,,\\SVR01\DISK05\,\\SVR02\DISK05\,401399.mpg,2018/01/04,,B1,,ㄔㄉ ㄇㄇㄍㄨ,CDMMGW,國語,0,其他,蒙面歌王,原影,有人聲,,,0,8,1,0,柔和,ㄒㄇㄊ,,男,,小魔头,,冲动
401398,她來聽我的演唱會,希林娜依,,\\SVR01\DISK05\,\\SVR02\DISK05\,401398.mpg,2018/01/04,,B1,,ㄊㄌㄊㄨㄉㄧㄔㄏ ㄓㄍㄒㄍㄕ,TLTWDYCHZGXGS,國語,0,其他,中國新聲音,原影,有人聲,,,0,15,1,0,柔和,ㄒㄌㄋㄧ,,女,,希林娜依,,她来听我的演唱会
401397,好漢歌,莫安琪,,\\SVR01\DISK05\,\\SVR02\DISK05\,401397.mpg,2018/01/04,,B1,,ㄏㄏㄍ ㄓㄍㄒㄍㄕ,HHGZGXGS,國語,0,其他,中國新聲音,原影,有人聲,,,0,10,1,0,柔和,ㄇㄢㄑ,,女,,莫安琪,,好汉歌
401396,遇到,王藍茵,,\\SVR01\DISK05\,\\SVR02\DISK05\,401396.mpg,2017/12/29,,F1,,ㄩㄉ,YD,國語,6,其他,KTV,原影,有人聲,,,1,2,1,1,浪漫,ㄨㄌㄧ,,女,,王蓝茵,,遇到
401395,最美情侶,白小白,,\\SVR01\DISK05\,\\SVR02\DISK05\,401395.mpg,2017/12/29,,F1,,ㄗㄇㄑㄌ,ZMQL,國語,3,其他,KTV,原影,有人聲,,,1,4,1,1,浪漫,ㄅㄒㄅ,,男,,白小白,,最美情侣
401394,出賣,周傳雄,,\\SVR01\DISK05\,\\SVR02\DISK05\,401394.mpg,2017/12/29,,F1,,ㄔㄇ,CM,國語,10,其他,KTV,原影,有人聲,,,1,2,1,1,柔和,ㄓㄔㄒ,,男,,周传雄,,出卖
401393,多想留在你身邊,劉增瞳,,\\SVR01\DISK05\,\\SVR02\DISK05\,401393.mpg,2017/12/29,,F1,,ㄉㄒㄌㄗㄋㄕㄅ,DXLZNSB,國語,8,其他,KTV,原影,有人聲,,,1,7,1,1,柔和,ㄌㄗㄊ,,女,,刘增瞳,,多想留在你身边
401392,兄弟想你了,姜鵬,,\\SVR01\DISK05\,\\SVR02\DISK05\,401392.mpg,2017/12/29,,F1,,ㄒㄉㄒㄋㄌ,XDXNL,國語,4,其他,KTV,原影,有人聲,,,1,5,1,1,柔和,ㄐㄆ,,男,,姜鹏,,兄弟想你了
401391,說散就散,JC,,\\SVR01\DISK05\,\\SVR02\DISK05\,401391.mpg,2017/12/21,,F1,,ㄕㄙㄐㄙ,SSJS,國語,134,其他,KTV,原影,有人聲,,,1,4,1,1,柔和,,,女,,JC,,说散就散
401390,勉為其難,王冕,,\\SVR01\DISK05\,\\SVR02\DISK05\,401390.mpg,2017/12/21,,F1,,ㄇㄨㄑㄋ,MWQN,國語,36,其他,KTV,原影,有人聲,,,1,4,1,1,柔和,ㄨㄇ,,男,,王冕,,勉为其难
401389,追光者,汪蘇瀧,,\\SVR01\DISK05\,\\SVR02\DISK05\,401389.mpg,2017/12/21,,B1,,ㄓㄍㄓ,ZGZ,國語,0,其他,蒙面唱將,原影,有人聲,,,0,3,1,0,柔和,ㄨㄙㄌ,,男,,汪苏泷,,追光者
401388,我恨我愛你,小魔頭,,\\SVR01\DISK05\,\\SVR02\DISK05\,401388.mpg,2017/12/21,,B1,,ㄨㄏㄨㄞㄋ,WHWAN,國語,0,其他,蒙面唱將,原影,有人聲,,,0,5,1,0,柔和,ㄒㄇㄊ,,男,,小魔头,,我恨我爱你
401387,走在冷風中,冷場王,,\\SVR01\DISK05\,\\SVR02\DISK05\,401387.mpg,2017/12/21,,B1,,ㄗㄗㄌㄈㄓ ㄇㄇㄍㄨ,ZZLFZMMGW,國語,0,其他,蒙面唱將,原影,有人聲,,,0,11,1,0,柔和,ㄌㄔㄨ,,女,,冷场王,,走在冷风中
401386,時間都去哪了,娃娃,,\\SVR01\DISK05\,\\SVR02\DISK05\,401386.mpg,2017/10/15,,B1,,ㄕㄐㄉㄑㄋㄌ ㄓㄍㄒㄍㄕ,SJDQNLZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,13,1,0,明亮,ㄨㄨ,,女,,娃娃,,时间都去哪了
401385,別讓夢醒來,朱文婷,,\\SVR01\DISK05\,\\SVR02\DISK05\,401385.mpg,2017/10/15,,B1,,ㄅㄖㄇㄒㄌ ㄓㄍㄒㄍㄕ,BRMXLZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,12,1,0,明亮,ㄓㄨㄊ,,女,,朱文婷,,别让梦醒来
401384,剛剛好,張珊珊,,\\SVR01\DISK05\,\\SVR02\DISK05\,401384.mpg,2017/10/15,,B1,,ㄍㄍㄏ ㄓㄍㄒㄍㄕ,GGHZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,10,1,0,明亮,ㄓㄕㄕ,,女,,张珊珊,,刚刚好
401383,演員和歌手,李榮浩,閻峻,\\SVR01\DISK05\,\\SVR02\DISK05\,401383.mpg,2017/10/15,,B1,,ㄧㄩㄏㄍㄕ ㄓㄍㄒㄍㄕ,YYHGSZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,12,1,0,明亮,ㄌㄖㄏ,ㄧㄐ,男,男,李荣浩,阎峻,演员和歌手
401382,寵愛,王俊凱,林可欣,\\SVR01\DISK05\,\\SVR02\DISK05\,401382.mpg,2017/09/23,,B1,,ㄔㄞ ㄨㄒㄏㄋㄔ,CAWXHNC,國語,0,其他,我想和你唱,原影,有人聲,,,0,9,1,0,明亮,ㄨㄐㄎ,ㄌㄎㄒ,男,女,王俊凯,林可欣,宠爱
401381,樹讀,王俊凱,林可欣,\\SVR01\DISK05\,\\SVR02\DISK05\,401381.mpg,2017/09/23,,B1,,ㄕㄉ ㄨㄒㄏㄋㄔ,SDWXHNC,國語,0,其他,我想和你唱,原影,有人聲,,,0,9,1,0,明亮,ㄨㄐㄎ,ㄌㄎㄒ,男,女,王俊凯,林可欣,树读
401380,剛好遇見你,李玉剛,徐天意,\\SVR01\DISK05\,\\SVR02\DISK05\,401380.mpg,2017/09/23,,B1,,ㄍㄏㄩㄐㄋ ㄨㄒㄏㄋㄔ,GHYJNWXHNC,國語,0,其他,我想和你唱,原影,有人聲,,,0,12,1,0,明亮,ㄌㄩㄍ,ㄒㄊㄧ,男,男,李玉刚,徐天意,刚好遇见你
401379,為你我受冷風吹,林憶蓮,楊啟,\\SVR01\DISK05\,\\SVR02\DISK05\,401379.mpg,2017/09/23,,B1,,ㄨㄋㄨㄕㄌㄈㄔ ㄨㄒㄏㄋㄔ,WNWSLFCWXHNC,國語,0,其他,我想和你唱,原影,有人聲,,,0,14,1,0,明亮,ㄌㄧㄌ,ㄧㄑ,女,男,林忆莲,杨启,为你我受冷风吹
401378,悶,葉曉粵,,\\SVR01\DISK05\,\\SVR02\DISK05\,401378.mpg,2017/09/23,,B1,,ㄇ ㄓㄍㄒㄍㄕ,MZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,8,1,0,明亮,ㄧㄒㄩ,,女,,叶晓粤,,闷
401377,給你看,杜星螢,,\\SVR01\DISK05\,\\SVR02\DISK05\,401377.mpg,2017/09/23,,B1,,ㄍㄋㄎ ㄓㄍㄒㄍㄕ,GNKZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,10,1,0,明亮,ㄉㄒㄧ,,女,,杜星萤,,给你看
401376,愛我,肖凱曄,,\\SVR01\DISK05\,\\SVR02\DISK05\,401376.mpg,2017/09/23,,B1,,ㄞㄨ ㄓㄍㄒㄍㄕ,AWZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,9,1,0,明亮,ㄒㄎㄧ,,女,,肖凯晔,,爱我
401375,時間有淚,陳穎恩,,\\SVR01\DISK05\,\\SVR02\DISK05\,401375.mpg,2017/09/23,,B1,,ㄕㄐㄧㄌ ㄓㄍㄒㄍㄕ,SJYLZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,11,1,0,明亮,ㄔㄧㄣ,,女,,陈颖恩,,时间有泪
401374,別說沒愛過,王振諾,,\\SVR01\DISK05\,\\SVR02\DISK05\,401374.mpg,2017/09/23,,B1,,ㄅㄕㄇㄞㄍ ㄓㄍㄒㄍㄕ,BSMAGZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,12,1,0,明亮,ㄨㄓㄋ,,男,,王振诺,,别说没爱过
401373,模特,于梓貝,,\\SVR01\DISK05\,\\SVR02\DISK05\,401373.mpg,2017/09/23,,B1,,ㄇㄊ ㄓㄍㄒㄍㄕ,MTZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,9,1,0,明亮,ㄩㄗㄅ,,女,,于梓贝,,模特
401372,浪人情歌,張婉清,,\\SVR01\DISK05\,\\SVR02\DISK05\,401372.mpg,2017/09/23,,B1,,ㄌㄖㄑㄍ ㄓㄍㄒㄍㄕ,LRQGZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,11,1,0,明亮,ㄓㄨㄑ,,女,,张婉清,,浪人情歌
401371,旅途,李雅,,\\SVR01\DISK05\,\\SVR02\DISK05\,401371.mpg,2017/09/23,,B1,,ㄌㄊ ㄓㄍㄒㄍㄕ,LTZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,9,1,0,明亮,ㄌㄧ,,女,,李雅,,旅途
401370,只如初見,張祿糴,,\\SVR01\DISK05\,\\SVR02\DISK05\,401370.mpg,2017/09/23,,B1,,ㄓㄖㄔㄐ ㄓㄍㄒㄍㄕ,ZRCJZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,11,1,0,明亮,ㄓㄌㄉ,,男,,张禄籴,,只如初见
401369,九妹,金甲組合,,\\SVR01\DISK05\,\\SVR02\DISK05\,401369.mpg,2017/09/23,,B1,,ㄐㄇ ㄓㄍㄒㄍㄕ,JMZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,9,1,0,明亮,ㄐㄐㄗㄏ,,團,,金甲组合,,九妹
401368,一面湖水,扎西平措,,\\SVR01\DISK05\,\\SVR02\DISK05\,401368.mpg,2017/09/23,,B1,,ㄧㄇㄏㄕ ㄓㄍㄒㄍㄕ,YMHSZGXGS,國語,0,其他,中國新歌聲,原影,有人聲,,,0,11,1,0,明亮,ㄓㄒㄆㄘ,,男,,扎西平措,,一面湖水
401367,齊天大聖,呂澤洲,,\\SVR01\DISK05\,\\SVR02\DISK05\,401367.mpg,2017/09/23,,B1,,ㄑㄊㄉㄕ,QTDS,國語,0,其他,明日之子,原影,有人聲,,,0,4,1,0,明亮,ㄌㄗㄓ,,男,,吕泽洲,,齐天大圣
