歌曲編號,歌曲名稱,歌星 A,歌星 B,路徑 1,路徑 2,歌曲檔名,新增日期,分類,歌曲注音,歌曲拼音,語別,點播次數,版權01,版權02,版權03,版權04,版權05,版權06,狀態,歌名字數,人聲,狀態2,情境,歌星A注音,歌星B注音,歌星A分類,歌星B分類,歌星A簡體,歌星B簡體,歌名簡體
999977,自我的介紹,盧廣仲,,\\SVR01\DISK02\,\\SVR02\DISK02\,999977.mpg,2021/12/16,,ㄗㄨㄉㄐㄕ,ZWDJS,國語,0,瑞影,,,,,,1,5,1,1,浪漫,ㄌㄍㄓ,,男,,卢广仲,,自我的介绍
999976,寄生,畢書盡,,\\SVR01\DISK02\,\\SVR02\DISK02\,999976.mpg,2021/12/16,,ㄐㄕ,JS,國語,0,瑞影,,,,,,1,2,1,1,浪漫,ㄅㄕㄐ,,男,,毕书尽,,寄生
999975,勵志論,盧廣仲,,\\SVR01\DISK02\,\\SVR02\DISK02\,999975.mpg,2021/12/16,,ㄌㄓㄌ,LZL,國語,0,瑞影,,,,,,1,3,1,1,浪漫,ㄌㄍㄓ,,男,,卢广仲,,励志论
999974,WALK ON WATER,鄧紫棋,,\\SVR01\DISK02\,\\SVR02\DISK02\,999974.mpg,2021/12/11,,,,國語,1,瑞影,,,,,,1,13,1,1,浪漫,ㄉㄗㄑ,,女,,邓紫棋,,WALK ON WATER
999973,痛感,愛怡良,李玖哲,\\SVR01\DISK02\,\\SVR02\DISK02\,999973.mpg,2021/12/11,,ㄊㄍ,TG,國語,0,瑞影,,,,,,1,2,1,1,浪漫,,ㄌㄐㄓ,,男,爱怡良,李玖哲,痛感
999972,最美的姑娘在拉薩,張冬玲,,\\SVR01\DISK01\,\\SVR02\DISK01\,999972.mpg,2021/12/11,,ㄗㄇㄉㄍㄋㄗㄌㄙ,ZMDGNZLS,國語,0,揚聲,,,,,,1,8,1,1,浪漫,ㄓㄉㄌ,,女,,张冬玲,,最美的姑娘在拉萨
999971,看透愛情看透你,冷漠,,\\SVR01\DISK01\,\\SVR02\DISK01\,999971.mpg,2021/12/11,,ㄎㄊㄞㄑㄎㄊㄋ,KTAQKTN,國語,0,揚聲,,,,,,1,7,1,1,浪漫,ㄌㄇ,,男,,冷漠,,看透爱情看透你
999970,流浪的情人,晨熙,,\\SVR01\DISK01\,\\SVR02\DISK01\,999970.mpg,2021/12/11,,ㄌㄌㄉㄑㄖ,LLDQR,國語,0,揚聲,,,,,,1,5,1,1,浪漫,ㄔㄒ,,女,,晨熙,,流浪的情人
999969,孤獨中秋,蒙面哥,,\\SVR01\DISK01\,\\SVR02\DISK01\,999969.mpg,2021/12/11,,ㄍㄉㄓㄑ,GDZQ,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄇㄇㄍ,,男,,蒙面哥,,孤独中秋
999968,手筆,莊心妍,,\\SVR01\DISK01\,\\SVR02\DISK01\,999968.mpg,2021/12/11,,ㄕㄅ,SB,國語,0,揚聲,,,,,,1,2,1,1,浪漫,ㄓㄒㄧ,,女,,庄心妍,,手笔
999967,癡情憨膽,劉家榮,吳淑敏,\\SVR01\DISK01\,\\SVR02\DISK01\,999967.mpg,2021/12/11,,ㄔㄑㄏㄉ,CQHD,台語,1,揚聲,,,,,,1,4,1,1,柔和,ㄌㄐㄖ,ㄨㄕㄇ,男,女,刘家荣,吴淑敏,痴情憨胆
999966,很小很小,魏如萱,,\\SVR01\DISK01\,\\SVR02\DISK01\,999966.mpg,2021/12/11,,ㄏㄒㄏㄒ,HXHX,國語,0,揚聲,,,,,,1,4,1,1,浪漫,ㄨㄖㄒ,,女,,魏如萱,,很小很小
999965,爛笑話,鹿衍人,,\\SVR01\DISK01\,\\SVR02\DISK01\,999965.mpg,2021/12/11,,ㄌㄒㄏ,LXH,國語,7,揚聲,,,,,,1,3,1,1,浪漫,ㄌㄧㄖ,,團,,鹿衍人,,烂笑话
999964,鹽酥雞,鹿衍人,,\\SVR01\DISK01\,\\SVR02\DISK01\,999964.mpg,2021/12/11,,ㄧㄙㄐ,YSJ,國語,0,揚聲,,,,,,1,3,1,1,浪漫,ㄌㄧㄖ,,團,,鹿衍人,,盐酥鸡
